,Palabras,Ejemplos 
816,sex ,Do you know the sex of your baby yet?
817,forward ,Move the car forward a few feet.
818,lawyer ,My lawyer helped me write a will.
819,present ,"If everyone is present, the meeting can begin."
820,section ,What section of the stadium are you sitting in?
821,environmental ,Environmental issues are in the news.
822,glass ,Glass is much heavier than plastic.
823,answer ,Could you answer a question for me?
824,skill ,His best skill is woodworking.
825,sister ,My sister lives close to me.
826,PM ,The movie starts at 7:30 PM.
827,professor ,Dr. Smith is my favorite professor.
828,operation ,The mining operation employs thousands of people.
829,financial ,I keep my accounts at my financial institution.
830,crime ,The police fight crime.
831,stage ,A caterpillar is the larval stage of a butterfly.
832,ok ,Would it be ok to eat out tonight?
833,compare ,We should compare cars before we buy one.
834,authority ,City authorities make the local laws.
835,miss ,"I miss you, when will I see you again?"
836,design ,We need to design a new logo.
837,sort ,Let’s sort these beads according to color.
838,one ,I only have one cat.
839,act ,I’ll act on your information today.
840,ten ,The baby counted her ten toes.
841,knowledge ,Do you have the knowledge to fix that?
842,gun ,Gun ownership is a controversial topic.
843,station ,There is a train station close to my house.
844,blue ,My favorite color is blue.
845,state ,After the accident I was in a state of shock.
846,strategy ,Our new corporate strategy is written here.
847,little ,I prefer little cars.
848,clearly ,The instructions were clearly written.
849,discuss ,We’ll discuss that at the meeting.
850,indeed ,Your mother does indeed have hearing loss.
851,force ,It takes a lot of force to open that door.
852,truth ,Please tell me the truth.
853,song ,That’s a beautiful song.
854,example ,"I need an example of that grammar point, please."
855,democratic ,Does Australia have a democratic government?
856,check ,Please check my work to be sure it’s correct.
857,environment ,We live in a healthy environment.
858,leg ,The boy broke his leg.
859,dark ,"Turn on the light, it’s dark in here."
860,public ,Masks must be worn in public places.
861,various,That rug comes in various shades of gray.
862,rather ,Would you rather have a hamburger than a hot dog?
863,laugh ,That movie always makes me laugh.
864,guess ,"If you don’t know, just guess."
865,executive ,The company’s executives are paid well.
866,set ,"Set the glass on the table, please."
867,study ,He needs to study for the test.
868,prove ,The employee proved his worth.
869,hang ,Please hang your coat on the hook.
870,entire ,He ate the entire meal in 10 minutes.
871,rock ,There are decorative rocks in the garden.
872,design ,The windows don’t open by design.
873,enough ,Have you had enough coffee?
874,forget ,Don’t forget to stop at the store.
875,since ,She hasn’t eaten since yesterday.
876,claim ,I made an insurance claim for my car accident.
877,note ,Leave me a note if you’re going to be late.
878,remove ,Remove the cookies from the oven.
879,manager ,The manager will look at your application.
880,help ,Could you help me move this table?
881,close ,"Close the door, please."
882,sound ,The dog did not make a sound.
883,enjoy ,I enjoy soda.
884,network ,Band is the name of our internet network.
885,legal ,The legal documents need to be signed.
886,religious ,"She is very religious, she attends church weekly."
887,cold ,My feet are cold.
888,form ,Please fill out this application form.
889,final ,The divorce was final last month.
890,main ,The main problem is a lack of money.
891,science ,He studies health science at the university.
892,green ,The grass is green.
893,memory ,He has a good memory.
894,card ,They sent me a card for my birthday.
895,above ,Look on the shelf above the sink.
896,seat ,That’s a comfortable seat.
897,cell ,Your body is made of millions of cells.
898,establish ,They established their business in 1942.
899,nice ,That’s a very nice car.
900,trial ,They are employing her on a trial basis.
901,expert ,Matt is an IT expert.
902,that ,Did you see that movie?
903,spring ,Spring is the most beautiful season.
904,firm – ,"Her ‘no” was very firm, she won’t change her mind."
905,Democrat ,The Democrats control the Senate.
906,radio ,I listen to the radio in the car.
907,visit ,We visited the museum today.
908,management ,That store has good management.
909,care ,She cares for her mother at home.
910,avoid ,You should avoid poison ivy.
911,imagine ,Can you imagine if pigs could fly?
912,tonight ,Would you like to go out tonight?
913,huge ,That truck is huge!
914,ball ,He threw the ball to the dog.
915,no ,"I said ‘no,’ please don’t ask again."
916,close ,"Close the window, please."
917,finish ,Did you finish your homework?
918,yourself ,You gave yourself a haircut?
919,talk ,He talks a lot.
920,theory ,"In theory, that’s a good plan."
921,impact ,The drought had a big impact on the crops.
922,respond ,He hasn’t responded to my text yet.
923,statement ,The police chief gave a statement to the media.
924,maintain ,Exercise helps you maintain a healthy weight.
925,charge ,I need to charge my phone.
926,popular ,That’s a popular restaurant.
927,traditional,They serve traditional Italian food there.
928,onto ,Jump onto the boat and we’ll go fishing.
929,reveal ,Washing off the dirt revealed the boy’s skinned knee.
930,direction ,What direction is the city from here?
931,weapon ,No weapons are allowed in government buildings.
932,employee ,That store only has three employees.
933,cultural ,There is cultural significance to those old ruins.
934,contain ,The carton contains a dozen egges.
935,peace,World leaders gathered for peace talks.
936,head ,My head hurts.
937,control ,Keep control of the car.
938,base ,The glass has a heavy base so it won’t fall over.
939,pain ,I have chest pain.
940,apply ,Maria applied for the job.
941,play ,The children play at the park.
942,measure ,"Measure twice, cut once."
943,wide ,The doorway was very wide.
944,shake ,Don’t shake the can of soda.
945,fly ,We can fly to France next year.
946,interview ,My job interview went well.
947,manage ,Did you manage to find the keys?
948,chair ,The table has six matching chairs.
949,fish ,I don’t enjoy eating fish.
950,particular ,That particular style looks good on you.
951,camera ,I use the camera on my phone.
952,structure ,The building’s structure is solid.
953,politics ,Mitch is very active in politics.
954,perform ,The singer will perform tonight.
955,bit ,It rained a little bit last night.
956,weight,Keep track of your pet’s weight.
957,suddenly ,The storm came up suddenly.
958,discover ,You’ll discover treasures at that thrift store.
959,candidate ,There are ten candidates for the position.
960,top ,The flag flies on the top of that building.
961,production ,Factory production has improved over the summer.
962,treat ,Give yourself a treat for a job well done.
963,trip ,We are taking a trip to Florida in January.
964,evening ,I’m staying home this evening.
965,affect ,My bank account will affect how much I can buy.
966,inside,The cat stays inside.
967,conference ,There will be expert presenters at the conference.
968,unit ,A foot is a unit of measure.
969,best ,Those are the best glasses to buy.
970,style ,My dress is out of style.
971,adult ,"Adults pay full price, but children are free."
972,worry ,Don’t worry about tomorrow.
973,range ,My doctor offered me a range of options
974,mention ,Can you mention me in your story?
975,rather ,"Rather than focusing on the bad things, let’s be grateful for the good things."
976,far ,I don’t want to move far from my family.
977,deep ,That poem about life is deep.
978,front – ,Please face front.
979,edge ,Please do not stand so close to the edge of the cliff.
980,individual ,These potato chips are in an individual serving size package.
981,specific ,Could you be more specific?
982,writer ,You are a good writer.
983,trouble ,Stay out of trouble.
984,necessary ,It is necessary to sleep.
985,throughout ,Throughout my life I have always enjoyed reading.
986,challenge ,I challenge you to do better.
987,fear ,Do you have any fears?
988,shoulder ,You do not have to shoulder all the work on your own.
989,institution ,Have you attended any institution of higher learning?
990,middle ,I am a middle child with one older brother and one younger sister.
991,sea ,I want to sail the seven seas.
992,dream ,I have a dream.
993,bar,A bar is a place where alcohol is served.
994,beautiful ,You are beautiful.
995,property ,"Do you own property, like a house?"
996,instead ,Instead of eating cake I will have fruit.
997,improve ,I am always looking for ways to improve.
998,stuff ,"When I moved, I realized I have a lot of stuff!"
999,claim ,"I claim to be a fast reader, but actually I am average."
